1,a,stupid man,6220.151
#,gayboy,Micky Batsford,-4799.493
3,b,Frannie Dionsetti,4494.006
4,d,b,3116.959
5,cmarkus4,Caroline Markus,5882.645
#6,zkunzler5,Zacharie Kunzler,-3645.781
7,pwalkingshaw6,Perry Walkingshaw,4750.262
8,bjochen7,Bettine Jochen,4453.599
9,mkirton8,Molli Kirton,4973.091
10,rbertie9,Reynold Bertie,2516.361
11,kguessa,Katerine Guess,6525.847
12,cgiacomuzzib,Cal Giacomuzzi,4309.088
13,lfidginc,Linell Fidgin,7747.552
14,rdid,Rozanne Di Boldi,3171.102
15,rneevese,Rene Neeves,2981.436
16,vreadyf,Valencia Ready,7697.05
17,aneevesg,Abbye Neeves,5599.938
18,rwolfith,Reese Wolfit,5938.065
19,dclelli,Dix Clell,5539.962
20,ahackettj,Allie Hackett,2737.336
21,ldikesk,Lion Dikes,7646.346
22,mbackesl,Marilyn Backes,2370.594
23,fgrimseym,Ferd Grimsey,2352.192
24,mandrinn,Mona Andrin,6494.436
25,pdanilyako,Patience Danilyak,4089.184
26,aarkleyp,Adrian Arkley,7580.403
27,mpieperq,Marshal Pieper,4169.7
28,mlutzmannr,Maybelle Lutzmann,7841.653
29,fjarrolds,Farand Jarrold,2918.816
30,dgrushint,Daffie Grushin,6958.606
31,ggiordanou,Gage Giordano,7069.438
32,clyverv,Cammy Lyver,7828.09
33,klauthianw,Keenan Lauthian,6142.903
34,mhallaganx,Madelene Hallagan,5143.338
35,jhadkinsy,Joya Hadkins,2062.917
36,rharesnapez,Ravi Haresnape,5654.716
37,aolekhov10,Alexine Olekhov,7269.505
38,efilchakov11,Estrellita Filchakov,2948.545
39,dgraybeal12,Donnie Graybeal,4681.654
40,smajor13,Sam Major,2791.658
41,khuggill14,Kaycee Huggill,4812.449
42,cbesnardeau15,Carey Besnardeau,6474.365
43,geilhermann16,Gene Eilhermann,4830.548
44,lspittles17,Lila Spittles,6138.733
45,dplait18,Darnall Plait,6383.315
46,dgledhill19,Domenic Gledhill,3404.959
47,mklesse1a,Myrta Klesse,4859.421
48,akeat1b,Alyss Keat,3508.203
49,hsimms1c,Harwilll Simms,4225.357
50,cdonizeau1d,Cindelyn Donizeau,2748.886
51,ltrench1e,Lorry Trench,2344.753
52,twattinham1f,Trescha Wattinham,4144.916
53,kerrichiello1g,Keelia Errichiello,2136.416
54,mborleace1h,Mackenzie Borleace,7618.244
55,cguild1i,Cleopatra Guild,5881.047
56,cdanielis1j,Carmine Danielis,4334.758
57,ibootes1k,Innis Bootes,5544.583
58,nscarsbrick1l,Norbie Scarsbrick,6156.478
59,xmacgee1m,Xavier MacGee,2445.638
60,rdraper1n,Rosita Draper,7814.431
61,mtriplow1o,Minette Triplow,7075.476
62,floveguard1p,Fowler Loveguard,7945.976
63,ahayhoe1q,Anna-diane Hayhoe,6128.417
64,tfisby1r,Theresa Fisby,5061.061
65,prutland1s,Phoebe Rutland,7740.35
66,amackall1t,Alfonso MacKall,3265.554
67,wbeever1u,Winfred Beever,7308.882
68,bmcgrey1v,Braden McGrey,5181.235
69,lsturdey1w,Lexi Sturdey,6284.4
70,abeat1x,Ardath Beat,5732.785
71,tdallas1y,Tom Dallas,4281.949
72,hbanville1z,Hatty Banville,2501.66
73,bczadla20,Bobbi Czadla,2798.733
74,mgabbetis21,Micaela Gabbetis,3919.804
75,clarmett22,Chlo Larmett,5600.78
76,bmendenhall23,Brita Mendenhall,6910.976
77,npollastro24,Nora Pollastro,2629.1
78,ewater25,Eva Water,6115.993
79,ldrewett26,Libbey Drewett,4166.472
80,cduinbleton27,Camel Duinbleton,4644.194
81,rfeldhorn28,Rivy Feldhorn,6698.828
82,wesch29,Walton Esch,3921.305
83,cmynett2a,Chen Mynett,4793.315
84,ftomes2b,Fan Tomes,4185.038
85,moakeshott2c,Mycah Oakeshott,4333.439
86,fdoogood2d,Franzen Doogood,7299.504
87,elagde2e,Elisabeth Lagde,6066.975
88,vcodi2f,Van Codi,6377.346
89,rmccrudden2g,Roxy McCrudden,2887.798
90,pharnetty2h,Paule Harnetty,4925.744
91,bfilyushkin2i,Baily Filyushkin,5705.556
92,bwilflinger2j,Brear Wilflinger,3563.268
93,bathridge2k,Brit Athridge,6311.468
94,rmcgeagh2l,Riordan McGeagh,3597.049
95,vguiel2m,Vanna Guiel,4212.618
96,ajull2n,Aloysius Jull,4085.219
97,skeson2o,Shelagh Keson,7860.158
98,ggeorgeson2p,Ginni Georgeson,3463.229
99,papril2q,Phylis April,4142.889
100,bgurnay2r,Bruce Gurnay,4835.095
101,vvischi2s,Vikky Vischi,6636.387
102,lmoxstead2t,Louise Moxstead,3791.394
103,operin2u,Oriana Perin,4510.61
104,pzanutti2v,Paddie Zanutti,7969.821
105,acasham2w,Alva Casham,4318.356
106,hstratford2x,Harley Stratford,4889.933
107,mwaistell2y,Marrilee Waistell,7972.045
108,agouldeby2z,Angela Gouldeby,4212.587
109,scaswall30,Shay Caswall,4312.488
110,drablen31,Delmor Rablen,6825.243
111,bbrewers32,Bonnee Brewers,4068.828
112,aaxelby33,Alanah Axelby,5612.782
113,dclineck34,Darell Clineck,5070.191
114,garch35,Gayle Arch,6261.876
115,fsesons36,Fenelia Sesons,2349.437
116,lverne37,La verne Pahler,3894.712
117,kmardling38,Kirsti Mardling,2079.596
118,mlightwing39,Maybelle Lightwing,7929.953
119,hfanstone3a,Halli Fanstone,5326.304
120,dmcnysche3b,Dyann McNysche,2702.405
121,emccutcheon3c,Englebert McCutcheon,4822.526
122,mcristofano3d,Minnie Cristofano,2016.836
123,rwaddicor3e,Reagen Waddicor,6063.562
124,syetton3f,Shawna Yetton,3071.155
125,agarth3g,Alair Garth,4850.6
126,nballantine3h,Neall Ballantine,6354.919
127,mhancell3i,Margaux Hancell,2273.114
128,lsloss3j,Lief Sloss,4084.107
129,gdammarell3k,Glenine Dammarell,3329.864
130,rdavydzenko3l,Rustie Davydzenko,2606.169
131,ngodleman3m,Nicholas Godleman,3239.988
132,rlindblom3n,Rossie Lindblom,4768.463
133,jboyton3o,Jarib Boyton,5849.736
134,hmacginley3p,Hazel MacGinley,3131.618
135,nmacgorley3q,Nolie MacGorley,2123.562
136,vommundsen3r,Virgil Ommundsen,7689.706
137,wjollie3s,Wake Jollie,3979.782
138,rwakeley3t,Roselia Wakeley,3092.951
139,mbartley3u,Maurise Bartley,5454.072
140,dmussalli3v,Devora Mussalli,3592.222
141,mwoolmore3w,Milton Woolmore,7512.16
142,obristowe3x,Orelee Bristowe,6192.518
143,rchecci3y,Roxine Checci,2890.584
144,dcruise3z,Desmond Cruise,3907.51
145,mmitchener40,Muffin Mitchener,5315.993
146,steliga41,Sharla Teliga,3503.604
147,aitzcovich42,Aube Itzcovich,3254.014
148,coulner43,Cob Oulner,6729.78
149,jwardlow44,Jeannette Wardlow,4432.703
150,rrankine45,Randy Rankine,3011.007
151,vtomet46,Veriee Tomet,2925.535
152,smuzzollo47,Stanford Muzzollo,3370.224
153,dbirkhead48,Donovan Birkhead,4972.773
154,mpracy49,Mariana Pracy,7584.734
155,iconklin4a,Ian Conklin,5768.117
156,llautie4b,Lela Lautie,2215.871
157,qreynolds4c,Quintilla Reynolds,2889.415
158,bcowsby4d,Beryl Cowsby,5654.855
159,cedwins4e,Courtney Edwins,5385.729
160,sbrookes4f,Shay Brookes,5375.047
161,lbleyman4g,Levi Bleyman,4354.109
162,vfarherty4h,Vale Farherty,2386.492
163,lbrahams4i,Luca Brahams,5256.914
164,bcummings4j,Brig Cummings,4696.712
165,bbrazil4k,Brynn Brazil,5530.22
166,bcarl4l,Barthel Carl,5309.103
167,ulempertz4m,Ulric Lempertz,3452.019
168,jarrault4n,Judd Arrault,3161.768
169,vpownall4o,Vernen Pownall,2823.846
170,ggeockle4p,Garrick Geockle,7876.223
171,oconklin4q,Oriana Conklin,4866.945
172,esynnot4r,Ellwood Synnot,7585.806
173,gbogaert4s,Gregory Bogaert,2763.988
174,imerill4t,Isador Merill,3811.387
175,jde4u,Jeremias De Mattia,6159.909
176,nbryant4v,Naomi Bryant,2610.424
177,gwickey4w,Giselbert Wickey,5881.708
178,iclissold4x,Isa Clissold,7000.892
179,eansett4y,Emmery Ansett,2261.849
180,qcuberley4z,Quincy Cuberley,5939.225
181,palten50,Pippa Alten,7339.321
182,vsainsberry51,Vince Sainsberry,5715.405
183,pivushkin52,Peyton Ivushkin,4459.825
184,kgildroy53,Ketty Gildroy,4967.687
185,hheliet54,Hamel Heliet,7360.411
186,esearle55,Eddi Searle,5889.495
187,wsammut56,Waneta Sammut,6499.842
188,ltribbeck57,Lorin Tribbeck,7166.126
189,elatter58,Eduino Latter,4753.235
190,agreves59,Adorne Greves,6171.331
191,ncooke5a,Nita Cooke,7952.104
192,tlathleiff5b,Timotheus Lathleiff,6485.852
193,ssprulls5c,Scotty Sprulls,4635.814
194,sosheils5d,Sigismund O'Sheils,7999.312
195,jengland5e,Johnathon England,7882.111
196,lbeveredge5f,Lucais Beveredge,5619.814
197,edjordjevic5g,Erminie Djordjevic,2168.431
198,basprey5h,Berte Asprey,5189.084
199,vturnbull5i,Verne Turnbull,2674.04
200,crowena5j,Cecile Rowena,4793.733
201,nroubottom5k,Ninetta Roubottom,3269.099
202,tnetherclift5l,Tomlin Netherclift,6680.702
203,bgandar5m,Blinnie Gandar,2464.083
204,cpettyfer5n,Con Pettyfer,6442.469
205,smityushkin5o,Sonny Mityushkin,3715.675
206,smarrows5p,Sybilla Marrows,7515.589
207,bvasyushkhin5q,Bartie Vasyushkhin,2542.4
208,cminero5r,Cordelie Minero,2152.488
209,mfever5s,Madge Fever,2184.278
210,nnovkovic5t,Nils Novkovic,7215.622
211,cninotti5u,Curt Ninotti,6907.766
212,fpersich5v,Forbes Persich,2910.97
213,xniaves5w,Xenos Niaves,6236.671
214,btrembley5x,Berni Trembley,5074.452
215,lpigny5y,Letisha Pigny,6294.66
216,cdonne5z,Carree Donne,3971.314
217,tgrayshan60,Therese Grayshan,4706.316
218,hrunacres61,Herschel Runacres,3635.326
219,dhatherley62,Daryl Hatherley,6863.394
220,sdaubney63,Shalom D'Aubney,6795.447
221,gbodill64,Gun Bodill,6696.806
222,jfolbig65,Jessi Folbig,3257.022
223,hgrieve66,Hermie Grieve,6313.746
224,aswanwick67,Aeriela Swanwick,4475.216
225,abrimble68,Amitie Brimble,7815.039
226,lsurmon69,Lorrie Surmon,2512.461
227,bcicchinelli6a,Barbie Cicchinelli,5490.499
228,cliddicoat6b,Cathi Liddicoat,2281.412
229,emedlicott6c,Estevan Medlicott,6586.615
230,bpershouse6d,Beilul Pershouse,3425.908
231,nkimbell6e,Noelani Kimbell,4560.048
232,schmarny6f,Sloan Chmarny,2624.19
233,rgainsford6g,Renado Gainsford,4643.386
234,dgorvin6h,Darrell Gorvin,2907.109
235,jkarpenko6i,Jedediah Karpenko,4302.993
236,dreadings6j,Dillon Readings,2013.248
237,sjorczyk6k,Spencer Jorczyk,3083.569
238,bbarrasse6l,Bryant Barrasse,2936.506
239,eragbourn6m,Emmie Ragbourn,7842.62
240,ddumphy6n,Dareen Dumphy,3257.228
241,osikorsky6o,Obidiah Sikorsky,5467.769
242,gcahani6p,Gearard Cahani,5305.662
243,mshine6q,Marcellus Shine,4989.274
244,gcufley6r,Griffy Cufley,6104.195
245,kmillea6s,Kassia Millea,5257.08
246,kbotley6t,Kore Botley,2228.215
247,mbaptiste6u,Martino Baptiste,7079.933
248,sksandra6v,Shepherd Ksandra,4793.559
249,jclitheroe6w,Jacki Clitheroe,2879.733
250,rbartlam6x,Roxanna Bartlam,6558.341
251,rmcglaughn6y,Ramonda McGlaughn,7002.995
252,ainde6z,Abdul Inde,6980.057
253,lbynold70,Lindsay Bynold,6971.859
254,dgeorgeot71,Dory Georgeot,7153.257
255,ucaslake72,Ulick Caslake,6051.704
256,wdillway73,Woodie Dillway,3935.19
257,nfrankes74,Norbie Frankes,7990.675
258,ksandhill75,Kennedy Sandhill,4842.419
259,psandham76,Phaidra Sandham,5141.649
260,pdewire77,Prentiss Dewire,6141.775
261,aheigl78,Alick Heigl,5455.933
262,hlethcoe79,Hercule Lethcoe,5400.782
263,rtremmel7a,Roselia Tremmel,2627.84
264,cchucks7b,Cassaundra Chucks,4892.742
265,lbrickner7c,Lesli Brickner,2695.591
266,emoline7d,Else Moline,3515
267,ebrazur7e,Eve Brazur,2995.573
268,hsurgenor7f,Helge Surgenor,7581.296
269,norleton7g,Nealon Orleton,4260.178
270,kscripture7h,Korry Scripture,2920.576
271,igurnay7i,Isahella Gurnay,7027.152
272,mlaphorn7j,Moshe Laphorn,4495.451
273,tbrantzen7k,Tobiah Brantzen,6505.02
274,nblamires7l,Nathanael Blamires,3067.633
275,nspeller7m,Nannette Speller,2239.455
276,vmcconnal7n,Verla McConnal,7534.46
277,zmacandrew7o,Zachery MacAndrew,5190.463
278,scormode7p,Sylvan Cormode,6581.962
279,ltadlow7q,Lavinie Tadlow,7101.777
280,qdennis7r,Quent Dennis,5800.696
281,ale7s,Amandie Le Quesne,6355.704
282,kpauer7t,Konstantin Pauer,5934.166
283,bhyman7u,Brana Hyman,6648.598
284,ggodson7v,Garvy Godson,4538.626
285,dwhilde7w,Devlin Whilde,6525.75
286,asandlin7x,Adamo Sandlin,6536.027
287,xlegerton7y,Xylina Legerton,4836.113
288,edeyes7z,Euphemia Deyes,6309.602
289,aballingal80,Anne-marie Ballingal,3479.663
290,jmunehay81,Joby Munehay,4853.402
291,sjuszczak82,Starlene Juszczak,3026.737
292,llangdale83,Letty Langdale,6319.275
293,eceschelli84,Ethan Ceschelli,6852.608
294,bwhiteson85,Barbabra Whiteson,2013.144
295,ecartwight86,Elka Cartwight,6098.652
296,edengate87,Elysee Dengate,3694.688
297,lpauling88,Lila Pauling,7266.396
298,lbru89,Lane Bru,3335.164
299,lbonn8a,Leila Bonn,2129.025
300,kbenting8b,Katherina Benting,7772.365
301,gcowden8c,Giustino Cowden,5745.989
302,amower8d,Antin Mower,4483.711
303,rveevers8e,Reinhold Veevers,2331.624
304,jjosefsen8f,Jermaine Josefsen,3204.878
305,vmatlock8g,Victor Matlock,5283.375
306,wbortoletti8h,Wolfie Bortoletti,2944.456
307,nmaudson8i,Nevsa Maudson,4858.418
308,agirton8j,Adriana Girton,3282.572
309,arye8k,Ammamaria Rye,7013.559
310,hthorbon8l,Hilde Thorbon,2458.112
311,drizzardi8m,Dolf Rizzardi,3509.528
312,tsotworth8n,Tedmund Sotworth,3797.221
313,iordemann8o,Inger Ordemann,5537.988
314,lpabst8p,Link Pabst,3396.861
315,ddumbelton8q,Delainey Dumbelton,6174.671
316,ncade8r,Nial Cade,3918.415
317,dwhitchurch8s,Devin Whitchurch,5440.687
318,gcurteis8t,Gerik Curteis,5222.707
319,kberringer8u,Kimball Berringer,2750.609
320,asamwell8v,Aluin Samwell,3113.997
321,blittledike8w,Bronnie Littledike,5524.369
322,kbeach8x,Kimbra Beach,7823.299
323,vmelior8y,Vitia Melior,5991.251
324,cdomelow8z,Concettina Domelow,5484.593
325,pvinson90,Pancho Vinson,7946.397
326,abirchill91,Antin Birchill,4362.704
327,asporner92,Ariadne Sporner,4405.423
328,bswanborough93,Bink Swanborough,3816.468
329,msanney94,Manon Sanney,2552.702
330,fschirok95,Floria Schirok,2641.644
331,sridolfo96,Shawnee Ridolfo,2694.822
332,llysons97,Louisette Lysons,6286.347
333,mvellacott98,Mohandis Vellacott,3409.851
334,ecamelia99,Emelina Camelia,2634.348
335,dpindell9a,Doralynne Pindell,4614.216
336,gcode9b,Gustie Code,6211.57
337,mquibell9c,Marlie Quibell,7540.499
338,osimo9d,Orson Simo,5416.677
339,ewellbeloved9e,Emmit Wellbeloved,7626.548
340,medgin9f,Mayer Edgin,6732.932
341,rstation9g,Ruy Station,4301.869
342,cwormald9h,Claudina Wormald,7561.237
343,ecorless9i,Eddi Corless,2119.237
344,bbakes9j,Broddy Bakes,5149.727
345,ljeanequin9k,Lindsy Jeanequin,4105.248
346,rde9l,Reginauld De Gregorio,2255.109
347,bdellatorre9m,Bay Dellatorre,3895.379
348,sboyne9n,Sasha Boyne,4036.258
349,lclacson9o,Lori Clacson,5141.514
350,bdanilovic9p,Blaire Danilovic,2695.097
351,crubens9q,Cloris Rubens,4629.247
352,kgason9r,Kelvin Gason,4815.265
353,vhalegarth9s,Vittoria Halegarth,2985.617
354,nsalasar9t,Nanon Salasar,5661.649
355,gfazan9u,Giacomo Fazan,7609.487
356,kweekly9v,Karrah Weekly,2583.125
357,hpowley9w,Haley Powley,3116.495
358,lflann9x,Louella Flann,2672.566
359,egrgic9y,Elsie Grgic,4443.741
360,spurvis9z,Stacee Purvis,3814.704
361,sdomineya0,Sula Dominey,5362.329
362,dtempletona1,Del Templeton,3181.398
363,spetegrea2,Stu Petegre,5024.965
364,savanna3,Sascha Avann,6756.899
365,rwibrewa4,Roseanne Wibrew,5031.194
366,chorleya5,Caryl Horley,3339.077
367,geckerya6,Gene Eckery,6614.81
368,evlasenkoa7,Eryn Vlasenko,2791.39
369,akellawaya8,Addy Kellaway,3231.408
370,bhailsa9,Bald Hails,6292.602
371,gbonfieldaa,Ganny Bonfield,2777.539
372,mlargeab,Meagan Large,4297.448
373,rkimbleyac,Ruby Kimbley,2750.339
374,nohrtad,Noemi Ohrt,6819.398
375,dkemmisae,Doralynn Kemmis,2130.203
376,gchaplainaf,Gweneth Chaplain,7649.313
377,rcaughtag,Rivi Caught,4857.591
